PACKET_SIZE,SRC_IP,TTL,DST_IP,KNOWN_HOST_DEVICE,IP_FRAG_OFF,PACKET_NO,MF_FLAG,TIMESTAMP,DF_FLAG
20,192.168.86.21,64,17.248.131.29,MacOS,0,213,0,1666897699.205194000,1
20,162.159.128.233,57,192.168.86.21,MacOS,0,214,0,1666897699.268101000,1
20,192.168.86.21,64,162.159.128.233,MacOS,0,215,0,1666897699.268325000,1
20,17.248.131.29,53,192.168.86.21,MacOS,0,216,0,1666897699.279258000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,217,0,1666897699.464824000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,218,0,1666897699.471149000,1
20,192.168.86.21,64,162.159.135.232,MacOS,0,219,0,1666897699.485882000,0
20,162.159.135.232,57,192.168.86.21,MacOS,0,220,0,1666897699.496023000,1
20,162.159.135.232,57,192.168.86.21,MacOS,0,221,0,1666897699.521116000,1
20,192.168.86.21,64,162.159.135.232,MacOS,0,222,0,1666897699.547375000,0
20,162.159.133.234,57,192.168.86.21,MacOS,0,223,0,1666897699.738535000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,224,0,1666897699.738535000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,225,0,1666897699.738600000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,226,0,1666897699.738681000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,227,0,1666897699.739912000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,228,0,1666897699.739913000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,229,0,1666897699.739913000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,230,0,1666897699.739914000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,231,0,1666897699.739914000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,232,0,1666897699.739915000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,233,0,1666897699.739916000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,234,0,1666897699.739916000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,235,0,1666897699.739960000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,236,0,1666897699.740036000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,237,0,1666897699.745019000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,238,0,1666897699.745020000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,239,0,1666897699.745021000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,240,0,1666897699.745021000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,241,0,1666897699.745022000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,242,0,1666897699.745022000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,243,0,1666897699.745023000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,244,0,1666897699.745074000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,245,0,1666897699.745113000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,246,0,1666897699.745153000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,247,0,1666897699.766067000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,248,0,1666897699.766067000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,249,0,1666897699.766069000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,250,0,1666897699.766069000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,251,0,1666897699.766070000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,252,0,1666897699.766070000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,253,0,1666897699.766071000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,254,0,1666897699.766071000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,255,0,1666897699.766072000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,256,0,1666897699.766072000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,257,0,1666897699.766073000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,258,0,1666897699.766074000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,259,0,1666897699.766074000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,260,0,1666897699.766075000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,261,0,1666897699.766128000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,262,0,1666897699.766160000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,263,0,1666897699.766250000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,264,0,1666897699.771698000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,265,0,1666897699.771699000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,266,0,1666897699.771699000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,267,0,1666897699.771700000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,268,0,1666897699.771762000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,269,0,1666897699.771845000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,270,0,1666897699.776033000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,271,0,1666897699.776034000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,272,0,1666897699.776078000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,273,0,1666897699.776147000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,274,0,1666897699.778688000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,275,0,1666897699.778689000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,276,0,1666897699.778722000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,277,0,1666897699.778779000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,278,0,1666897699.779196000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,279,0,1666897699.779197000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,280,0,1666897699.779198000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,281,0,1666897699.779199000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,282,0,1666897699.779199000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,283,0,1666897699.779200000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,284,0,1666897699.779233000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,285,0,1666897699.779282000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,286,0,1666897699.779786000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,287,0,1666897699.779787000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,288,0,1666897699.779788000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,289,0,1666897699.779811000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,290,0,1666897699.779844000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,291,0,1666897699.797312000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,292,0,1666897699.797312000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,293,0,1666897699.797356000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,294,0,1666897699.797424000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,295,0,1666897699.798138000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,296,0,1666897699.798139000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,297,0,1666897699.798140000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,298,0,1666897699.798141000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,299,0,1666897699.798141000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,300,0,1666897699.798142000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,301,0,1666897699.798143000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,302,0,1666897699.798143000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,303,0,1666897699.798144000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,304,0,1666897699.798144000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,305,0,1666897699.798180000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,306,0,1666897699.798231000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,307,0,1666897699.804583000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,308,0,1666897699.804583000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,309,0,1666897699.804584000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,310,0,1666897699.804585000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,311,0,1666897699.804585000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,312,0,1666897699.804586000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,313,0,1666897699.804587000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,314,0,1666897699.804588000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,315,0,1666897699.804588000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,316,0,1666897699.804588000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,317,0,1666897699.804589000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,318,0,1666897699.804656000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,319,0,1666897699.804731000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,320,0,1666897699.805286000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,321,0,1666897699.805287000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,322,0,1666897699.805287000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,323,0,1666897699.805288000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,324,0,1666897699.805289000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,325,0,1666897699.805289000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,326,0,1666897699.805290000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,327,0,1666897699.805322000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,328,0,1666897699.805374000,1
