PROTOCOL,MF_FLAG,PACKET_NO,IP_FRAG_OFF,SRC_PORT,DST_IP,TTL,PACKET_SIZE,KNOWN_HOST_DEVICE,TIMESTAMP,DST_PORT,DF_FLAG,SRC_IP
N/A,0,179,0,N/A,157.166.255.38,128,20,Linux,1258920202.096679000,N/A,1,172.16.16.128
N/A,0,180,0,N/A,157.166.255.38,128,20,Linux,1258920202.096883000,N/A,1,172.16.16.128
N/A,0,181,0,N/A,172.16.16.128,56,20,Linux,1258920202.120986000,N/A,0,204.160.104.126
N/A,0,182,0,N/A,204.160.104.126,128,20,Linux,1258920202.121590000,N/A,1,172.16.16.128
N/A,0,183,0,N/A,172.16.16.128,56,20,Linux,1258920202.121664000,N/A,0,204.160.104.126
N/A,0,184,0,N/A,204.160.104.126,128,20,Linux,1258920202.122105000,N/A,1,172.16.16.128
N/A,0,185,0,N/A,172.16.16.128,56,20,Linux,1258920202.134796000,N/A,0,204.160.104.126
N/A,0,186,0,N/A,172.16.16.128,56,20,Linux,1258920202.134801000,N/A,0,204.160.104.126
N/A,0,187,0,N/A,172.16.16.128,51,20,Linux,1258920202.134803000,N/A,0,157.166.226.25
N/A,0,188,0,N/A,172.16.16.128,56,20,Linux,1258920202.134807000,N/A,0,199.93.63.126
N/A,0,189,0,N/A,172.16.16.128,56,20,Linux,1258920202.134809000,N/A,0,199.93.63.126
N/A,0,190,0,N/A,172.16.16.128,56,20,Linux,1258920202.134811000,N/A,0,204.160.104.126
N/A,0,191,0,N/A,172.16.16.128,56,20,Linux,1258920202.136177000,N/A,0,204.160.104.126
N/A,0,192,0,N/A,204.160.104.126,128,20,Linux,1258920202.137596000,N/A,1,172.16.16.128
N/A,0,193,0,N/A,204.160.104.126,128,20,Linux,1258920202.137691000,N/A,1,172.16.16.128
N/A,0,194,0,N/A,204.160.104.126,128,20,Linux,1258920202.137762000,N/A,1,172.16.16.128
N/A,0,195,0,N/A,204.160.104.126,128,20,Linux,1258920202.137831000,N/A,1,172.16.16.128
N/A,0,196,0,N/A,157.166.255.38,128,20,Linux,1258920202.154273000,N/A,1,172.16.16.128
N/A,0,197,0,N/A,172.16.16.128,51,20,Linux,1258920202.154415000,N/A,0,157.166.226.25
N/A,0,198,0,N/A,172.16.16.128,51,20,Linux,1258920202.155733000,N/A,0,157.166.226.25
N/A,0,199,0,N/A,172.16.16.128,46,20,Linux,1258920202.155744000,N/A,0,157.166.255.38
N/A,0,200,0,N/A,199.93.63.126,128,20,Linux,1258920202.159508000,N/A,1,172.16.16.128
N/A,0,201,0,N/A,199.93.63.126,128,20,Linux,1258920202.160056000,N/A,1,172.16.16.128
