DF_FLAG,PACKET_NO,TLS_VERSION,SRC_IP,TLS_CIPHER_SUITES,SUB_PROTOCOL,TLS_EXTENSION_SIG_ALGS,DST_IP,TTL,MF_FLAG,PACKET_SIZE,TIMESTAMP,IP_FRAG_OFF,KNOWN_HOST_DEVICE
1,196,N/A,173.223.108.190,N/A,N/A,N/A,192.168.86.21,55,0,20,1666897698.866874000,0,MacOS
1,197,N/A,173.223.108.190,N/A,N/A,N/A,192.168.86.21,55,0,20,1666897698.866875000,0,MacOS
1,198,N/A,192.168.86.21,N/A,N/A,N/A,173.223.108.190,64,0,20,1666897698.867157000,0,MacOS
1,199,N/A,192.168.86.21,N/A,N/A,N/A,173.223.108.190,64,0,20,1666897698.867161000,0,MacOS
1,200,N/A,192.168.86.21,N/A,N/A,N/A,173.223.108.190,64,0,20,1666897698.867470000,0,MacOS
1,201,N/A,192.168.86.21,N/A,N/A,N/A,173.223.108.190,64,0,20,1666897698.867685000,0,MacOS
1,202,N/A,173.223.108.190,N/A,N/A,N/A,192.168.86.21,55,0,20,1666897698.873787000,0,MacOS
1,203,N/A,173.223.108.190,N/A,N/A,N/A,192.168.86.21,55,0,20,1666897698.873787000,0,MacOS
1,204,N/A,192.168.86.21,N/A,N/A,N/A,162.159.128.233,64,0,20,1666897699.070627000,0,MacOS
1,205,N/A,17.248.131.29,N/A,N/A,N/A,192.168.86.21,46,0,20,1666897699.084437000,0,MacOS
1,206,N/A,17.248.131.29,N/A,N/A,N/A,192.168.86.21,46,0,20,1666897699.084438000,0,MacOS
1,207,N/A,17.248.131.29,N/A,N/A,N/A,192.168.86.21,46,0,20,1666897699.084438000,0,MacOS
1,208,N/A,192.168.86.21,N/A,N/A,N/A,17.248.131.29,64,0,20,1666897699.084615000,0,MacOS
1,209,N/A,192.168.86.21,N/A,N/A,N/A,17.248.131.29,64,0,20,1666897699.084911000,0,MacOS
1,210,N/A,192.168.86.21,N/A,N/A,N/A,17.248.131.29,64,0,20,1666897699.085028000,0,MacOS
1,211,N/A,162.159.128.233,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897699.091617000,0,MacOS
1,212,N/A,17.248.131.29,N/A,N/A,N/A,192.168.86.21,46,0,20,1666897699.092848000,0,MacOS
1,213,N/A,192.168.86.21,N/A,N/A,N/A,17.248.131.29,64,0,20,1666897699.205194000,0,MacOS
1,214,N/A,162.159.128.233,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897699.268101000,0,MacOS
1,215,N/A,192.168.86.21,N/A,N/A,N/A,162.159.128.233,64,0,20,1666897699.268325000,0,MacOS
1,216,N/A,17.248.131.29,N/A,N/A,N/A,192.168.86.21,53,0,20,1666897699.279258000,0,MacOS
1,217,N/A,192.168.86.21,N/A,N/A,N/A,162.159.133.234,64,0,20,1666897699.464824000,0,MacOS
1,218,N/A,162.159.133.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897699.471149000,0,MacOS
0,219,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897699.485882000,0,MacOS
1,220,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897699.496023000,0,MacOS
1,221,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897699.521116000,0,MacOS
0,222,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897699.547375000,0,MacOS
1,223,N/A,162.159.133.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897699.738535000,0,MacOS
1,224,N/A,162.159.133.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897699.738535000,0,MacOS
1,225,N/A,192.168.86.21,N/A,N/A,N/A,162.159.133.234,64,0,20,1666897699.738600000,0,MacOS
1,226,N/A,192.168.86.21,N/A,N/A,N/A,162.159.133.234,64,0,20,1666897699.738681000,0,MacOS
1,227,N/A,162.159.133.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897699.739912000,0,MacOS
1,228,N/A,162.159.133.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897699.739913000,0,MacOS
1,229,N/A,162.159.133.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897699.739913000,0,MacOS
1,230,N/A,162.159.133.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897699.739914000,0,MacOS
1,231,N/A,162.159.133.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897699.739914000,0,MacOS
1,232,N/A,162.159.133.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897699.739915000,0,MacOS
1,233,N/A,162.159.133.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897699.739916000,0,MacOS
1,234,N/A,162.159.133.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897699.739916000,0,MacOS
