DST_IP,IP_FRAG_OFF,HTTP_USER_AGENT,SRC_IP,PACKET_NO,DF_FLAG,TTL,MF_FLAG,PACKET_SIZE,TIMESTAMP,SUB_PROTOCOL,KNOWN_HOST_DEVICE
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,129,1,128,0,20,1258920201.946593000,http,Linux
172.16.16.128,0,N/A,204.160.104.126,130,0,56,0,20,1258920201.947183000,N/A,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,131,1,128,0,20,1258920201.947710000,http,Linux
172.16.16.128,0,N/A,157.166.226.25,132,0,51,0,20,1258920201.951647000,N/A,Linux
172.16.16.128,0,N/A,157.166.226.25,133,0,51,0,20,1258920201.952906000,N/A,Linux
157.166.226.25,0,N/A,172.16.16.128,134,1,128,0,20,1258920201.952947000,N/A,Linux
172.16.16.128,0,N/A,157.166.226.25,135,0,51,0,20,1258920201.956127000,N/A,Linux
172.16.16.128,0,N/A,204.160.104.126,136,0,56,0,20,1258920201.956338000,N/A,Linux
172.16.16.128,0,N/A,157.166.226.25,137,0,51,0,20,1258920201.957237000,N/A,Linux
157.166.226.25,0,N/A,172.16.16.128,138,1,128,0,20,1258920201.957277000,N/A,Linux
172.16.16.128,0,N/A,157.166.226.25,139,0,51,0,20,1258920201.958431000,N/A,Linux
172.16.16.128,0,N/A,157.166.226.25,140,0,51,0,20,1258920201.959674000,N/A,Linux
157.166.226.25,0,N/A,172.16.16.128,141,1,128,0,20,1258920201.959714000,N/A,Linux
172.16.16.128,0,N/A,204.160.104.126,142,0,56,0,20,1258920201.962382000,N/A,Linux
172.16.16.128,0,N/A,204.160.104.126,143,0,56,0,20,1258920201.975079000,N/A,Linux
172.16.16.128,0,N/A,204.160.104.126,144,0,56,0,20,1258920201.979134000,N/A,Linux
172.16.16.128,0,N/A,204.160.104.126,145,0,56,0,20,1258920201.992352000,N/A,Linux
172.16.16.128,0,N/A,204.160.104.126,146,0,56,0,20,1258920201.995135000,N/A,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,147,1,128,0,20,1258920202.016048000,http,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,148,1,128,0,20,1258920202.016237000,http,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,149,1,128,0,20,1258920202.016320000,http,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,150,1,128,0,20,1258920202.016407000,http,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,151,1,128,0,20,1258920202.016462000,http,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,152,1,128,0,20,1258920202.016541000,http,Linux
172.16.16.128,0,N/A,157.166.226.25,153,0,51,0,20,1258920202.017645000,N/A,Linux
172.16.16.128,0,N/A,157.166.226.25,154,0,51,0,20,1258920202.017649000,N/A,Linux
199.93.63.126,0,N/A,172.16.16.128,155,1,128,0,20,1258920202.026439000,N/A,Linux
157.166.226.25,0,N/A,172.16.16.128,156,1,128,0,20,1258920202.035607000,N/A,Linux
157.166.255.38,0,N/A,172.16.16.128,157,1,128,0,20,1258920202.039370000,N/A,Linux
157.166.226.25,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,158,1,128,0,20,1258920202.059956000,http,Linux
172.16.16.128,0,N/A,204.160.104.126,159,0,56,0,20,1258920202.063225000,N/A,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,160,1,128,0,20,1258920202.063768000,http,Linux
172.16.16.128,0,N/A,204.160.104.126,161,0,56,0,20,1258920202.067143000,N/A,Linux
