DST_IP,PACKET_NO,SRC_PORT,TCP_URP,PACKET_SIZE,TCP_FLAGS,TCP_WINDOW_SIZE,DST_PORT,TCP_ACK,PROTOCOL,KNOWN_HOST_DEVICE,DF_FLAG,TLS_EXTENSION_SIG_ALGS,TCP_HDR_LEN,MF_FLAG,TIMESTAMP,SUB_PROTOCOL,IP_FRAG_OFF,SRC_IP,TLS_CIPHER_SUITES,TCP_SEQ,TLS_VERSION,TTL,TCP_OPTIONS
162.159.128.233,109,60732,0,20,··········S·,65535,443,0,tcp,MacOS,1,N/A,44,0,1666897695.871637000,N/A,0,192.168.86.21,N/A,3996066446,N/A,64,02:04:05:b4:01:03:03:06:01:01:08:0a:78:b1:6c:ee:00:00:00:00:04:02:00:00
192.168.86.21,110,443,0,20,·······A··S·,64240,60732,1,tcp,MacOS,1,N/A,32,0,1666897695.885060000,N/A,0,162.159.128.233,N/A,2111132811,N/A,57,02:04:05:78:01:01:04:02:01:03:03:0d
162.159.128.233,111,60732,0,20,·······A····,4096,443,1,tcp,MacOS,1,N/A,20,0,1666897695.885816000,N/A,0,192.168.86.21,N/A,3996066447,N/A,64,N/A
162.159.128.233,112,60732,0,20,·······AP···,4096,443,1,tcp,MacOS,1,0x0403,20,0,1666897695.885820000,tls,0,192.168.86.21,0x4a4a,3996066447,0x0301,64,N/A
192.168.86.21,113,443,0,20,·······A····,8,60732,518,tcp,MacOS,1,N/A,20,0,1666897695.897070000,N/A,0,162.159.128.233,N/A,2111132812,N/A,57,N/A
192.168.86.21,114,53,N/A,20,N/A,N/A,64185,N/A,udp,MacOS,1,N/A,N/A,0,1666897695.900035000,N/A,0,192.168.86.1,N/A,N/A,N/A,64,N/A
192.168.86.21,115,443,0,20,·······AP···,8,60732,518,tcp,MacOS,1,N/A,20,0,1666897695.908056000,N/A,0,162.159.128.233,N/A,2111134272,N/A,57,N/A
192.168.86.21,116,443,0,20,·······A····,8,60732,518,tcp,MacOS,1,N/A,20,0,1666897695.908056000,N/A,0,162.159.128.233,N/A,2111132812,N/A,57,N/A
162.159.128.233,117,60732,0,20,·······A····,4096,443,1,tcp,MacOS,1,N/A,32,0,1666897695.908878000,N/A,0,192.168.86.21,N/A,3996066964,N/A,64,01:01:05:0a:7d:d5:5a:40:7d:d5:5f:eb
162.159.128.233,118,60732,0,20,·······A····,4050,443,2912,tcp,MacOS,1,N/A,20,0,1666897695.908883000,N/A,0,192.168.86.21,N/A,3996066964,N/A,64,N/A
