PACKET_NO,KNOWN_HOST_DEVICE,DST_IP,SRC_IP,PACKET_SIZE,TIMESTAMP,TTL,DF_FLAG,MF_FLAG,IP_FRAG_OFF,PROTOCOL,SRC_PORT,DST_PORT,SUB_PROTOCOL
205,windows,142.251.45.78,10.169.169.21,20,1663877084.035884000,128,1,0,0,udp,56584,443,quic
206,windows,142.251.45.78,10.169.169.21,20,1663877084.036342000,128,1,0,0,udp,56584,443,quic
207,windows,10.169.169.21,10.182.70.95,20,1663877084.052255000,121,0,0,0,udp,53,56585,
208,windows,10.169.169.21,142.251.45.78,20,1663877084.052696000,54,1,0,0,udp,443,56584,quic
209,windows,10.169.169.21,142.251.45.78,20,1663877084.052696000,54,1,0,0,udp,443,56584,quic
210,windows,142.251.45.78,10.169.169.21,20,1663877084.053624000,128,1,0,0,udp,56584,443,quic
211,windows,142.251.45.78,10.169.169.21,20,1663877084.053854000,128,1,0,0,udp,56584,443,quic
212,windows,142.251.45.78,10.169.169.21,20,1663877084.054195000,128,1,0,0,udp,56584,443,quic
213,windows,142.251.45.78,10.169.169.21,20,1663877084.054271000,128,1,0,0,udp,56584,443,quic
214,windows,10.248.14.16,10.169.169.21,20,1663877084.055709000,128,0,0,0,udp,56586,53,
215,windows,10.169.169.21,142.251.45.78,20,1663877084.061363000,54,1,0,0,udp,443,56584,quic
216,windows,10.169.169.21,142.251.45.78,20,1663877084.061363000,54,1,0,0,udp,443,56584,quic
217,windows,10.169.169.21,142.251.45.78,20,1663877084.061363000,54,1,0,0,udp,443,56584,quic
218,windows,142.251.45.78,10.169.169.21,20,1663877084.062108000,128,1,0,0,udp,56584,443,quic
219,windows,10.169.169.21,142.251.45.78,20,1663877084.069358000,54,1,0,0,udp,443,56584,quic
220,windows,10.169.169.21,10.248.14.16,20,1663877084.081585000,120,0,0,0,udp,53,56586,
221,windows,208.67.222.222,10.169.169.21,20,1663877084.084740000,128,0,0,0,udp,56588,443,
222,windows,142.251.45.78,10.169.169.21,20,1663877084.089029000,128,1,0,0,udp,56584,443,quic
223,windows,10.169.169.21,208.67.222.222,20,1663877084.096027000,53,1,0,0,udp,443,56588,
224,windows,10.100.70.24,10.169.169.21,20,1663877084.099239000,128,0,0,0,udp,56589,53,
225,windows,10.182.70.24,10.169.169.21,20,1663877084.099703000,128,0,0,0,udp,56590,53,
226,windows,10.182.70.95,10.169.169.21,20,1663877084.099981000,128,0,0,0,udp,56591,53,
227,windows,10.248.14.16,10.169.169.21,20,1663877084.100287000,128,0,0,0,udp,56592,53,
228,windows,10.169.169.21,10.100.70.24,20,1663877084.104436000,125,0,0,0,udp,53,56589,
229,windows,10.169.169.21,10.182.70.95,20,1663877084.106623000,120,0,0,0,udp,53,56591,
230,windows,10.169.169.21,10.182.70.24,20,1663877084.106623000,120,0,0,0,udp,53,56590,
231,windows,10.169.169.21,10.248.14.16,20,1663877084.108430000,121,0,0,0,udp,53,56592,
232,windows,208.67.222.222,10.169.169.21,20,1663877084.121993000,128,0,0,0,udp,56595,443,
233,windows,208.67.222.222,10.169.169.21,20,1663877084.122560000,128,0,0,0,udp,56596,443,
234,windows,10.169.169.21,208.67.222.222,20,1663877084.125994000,53,1,0,0,udp,443,56595,
235,windows,10.169.169.21,208.67.222.222,20,1663877084.126875000,53,1,0,0,udp,443,56596,
236,windows,10.169.169.21,142.251.45.78,20,1663877084.131843000,54,1,0,0,udp,443,56584,quic
237,windows,142.251.45.78,10.169.169.21,20,1663877084.132563000,128,1,0,0,udp,56584,443,quic
238,windows,10.169.169.21,142.251.45.78,20,1663877084.133364000,54,1,0,0,udp,443,56584,quic
239,windows,10.169.169.21,142.251.45.78,20,1663877084.133364000,54,1,0,0,udp,443,56584,quic
240,windows,142.251.45.78,10.169.169.21,20,1663877084.133865000,128,1,0,0,udp,56584,443,quic
241,windows,10.169.169.21,142.251.45.78,20,1663877084.159932000,54,1,0,0,udp,443,56584,quic
243,windows,239.255.255.250,10.169.169.21,20,1663877084.874384000,1,0,0,0,udp,60412,1900,
245,windows,10.169.169.21,162.159.133.234,20,1663877085.722308000,53,1,0,0,tcp,443,53331,tls
246,windows,162.159.133.234,10.169.169.21,20,1663877085.762246000,128,1,0,0,tcp,53331,443,
247,windows,239.255.255.250,10.169.169.21,20,1663877085.874704000,1,0,0,0,udp,60412,1900,
248,windows,10.169.169.21,192.0.78.22,20,1663877086.273847000,54,1,0,0,tcp,443,50262,tls
249,windows,10.169.169.21,192.0.78.22,20,1663877086.273847000,54,1,0,0,tcp,443,50262,tls
250,windows,192.0.78.22,10.169.169.21,20,1663877086.274019000,128,1,0,0,tcp,50262,443,
251,windows,192.0.78.22,10.169.169.21,20,1663877086.274304000,128,1,0,0,tcp,50262,443,
252,windows,10.169.169.21,192.0.78.22,20,1663877086.279149000,54,1,0,0,tcp,443,50262,
253,windows,10.169.169.21,192.0.78.22,20,1663877086.279149000,54,1,0,0,tcp,443,50262,
255,windows,10.169.169.21,192.0.78.22,20,1663877086.576348000,54,1,0,0,tcp,443,50262,
256,windows,192.0.78.22,10.169.169.21,20,1663877086.576481000,128,1,0,0,tcp,50262,443,
260,windows,208.67.222.222,10.169.169.21,20,1663877090.092009000,128,0,0,0,udp,62143,443,
261,windows,10.169.169.21,208.67.222.222,20,1663877090.175216000,53,1,0,0,udp,443,62143,
262,windows,128.95.155.134,10.169.169.21,20,1663877090.177582000,128,1,0,0,tcp,64092,80,
263,windows,208.67.222.222,10.169.169.21,20,1663877090.177779000,128,0,0,0,udp,62145,443,
264,windows,10.169.169.21,128.95.155.134,20,1663877090.228649000,43,1,0,0,tcp,80,64092,
265,windows,128.95.155.134,10.169.169.21,20,1663877090.228805000,128,1,0,0,tcp,64092,80,
266,windows,128.95.155.134,10.169.169.21,20,1663877090.229245000,128,1,0,0,tcp,64092,80,
